COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Belgium,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,112.933,12,1314.951,,0.013539971167929071
Belgium,JAN2010,January 2010,2010,1,January,Not specified,17,13,204,,0.0020381953003532553
Belgium,JAN2010,January 2010,2010,1,January,Net electricity production,8340.712,14,91485.999,,1
Belgium,JAN2010,January 2010,2010,1,January,Total imports,1228.111,15,12395,,0.14724294520659628
Belgium,JAN2010,January 2010,2010,1,January,Total exports,1012.464,16,11843.999,,0.12138819803393285
Belgium,JAN2010,January 2010,2010,1,January,Electricity supplied,8556.359,17,92037,,1.0258547471726636
Belgium,JAN2010,January 2010,2010,1,January,Used for pumped storage,159.948,18,1786,,0.019176780111817796
Belgium,JAN2010,January 2010,2010,1,January,Distribution losses,394.312,19,4283.001,,0.047275580310170165
Belgium,JAN2010,January 2010,2010,1,January,Final consumption,8002.099,20,85967.999,,0.9594023867506756
Belgium,JAN2010,January 2010,2010,1,January,Electricity trade,-215.647,21,-551.001,,-0.025854747172663436
Belgium,JAN2010,January 2010,2010,1,January,Renewables,600.592,22,7681.649,,0.07200728187233896
Belgium,JAN2010,January 2010,2010,1,January,Non-renewables,7740.122,23,83804.351,,0.9279929579153435
Belgium,JAN2010,January 2010,2010,1,January,Others,169.489,24,1911.792,,0.020320687250680758
Belgium,JAN2010,January 2010,2010,1,January,Other renewables aggregated,359.823,25,4189.65,,0.0431405616211182
Belgium,JAN2010,January 2010,2010,1,January,Low carbon,4406.221,26,53614.649,,0.5282787608539894
Belgium,JAN2010,January 2010,2010,1,January,Fossil fuels,3951.493,27,38075.351,,0.47375967423404625
Canada,JAN2010,January 2010,2010,1,January,Hydro,37885.199,1,347981,,0.6279492971024266
Canada,JAN2010,January 2010,2010,1,January,Wind,631.406,2,8637.002,,0.010465589843839931
Canada,JAN2010,January 2010,2010,1,January,Solar,1.898,3,253,,3.145945639352206e-05
Canada,JAN2010,January 2010,2010,1,January,Other renewables,1.716,5,28,,2.844279619140351e-05
Canada,JAN2010,January 2010,2010,1,January,Nuclear,7704.885,6,85527,,0.12770890077692426
Canada,JAN2010,January 2010,2010,1,January,Total combustible fuels,13858.517,7,140041,,0.22970569612243635
Canada,JAN2010,January 2010,2010,1,January,Coal,7356.445,8,74337.241,,0.12193348824491224
Canada,JAN2010,January 2010,2010,1,January,Oil,771.15,9,7792.508,,0.012781854477273202
Canada,JAN2010,January 2010,2010,1,January,Natural gas,4762.961,10,48129.958,,0.07894634556561973
Canada,JAN2010,January 2010,2010,1,January,Combustible renewables,961.117,11,9712.132,,0.015930568150986694
Canada,JAN2010,January 2010,2010,1,January,Other combustible non-renewables,6.844,12,69.159,,0.00011343968364450212
Canada,JAN2010,January 2010,2010,1,January,Not specified,248,13,2976,,0.0041106139017879195
Canada,JAN2010,January 2010,2010,1,January,Net electricity production,60331.621,14,585443.001,,1
Canada,JAN2010,January 2010,2010,1,January,Total imports,1177.292,15,18813.998,,0.019513680893805254
Canada,JAN2010,January 2010,2010,1,January,Total exports,5223.557,16,44253,,0.08658075008460323
Canada,JAN2010,January 2010,2010,1,January,Electricity supplied,56285.356,17,560003.999,,0.932932930809202
Canada,JAN2010,January 2010,2010,1,January,Used for pumped storage,22.863,18,210.001,,0.00037895550659910164
Canada,JAN2010,January 2010,2010,1,January,Distribution losses,4974.62,19,48659.001,,0.08245460535529121
Canada,JAN2010,January 2010,2010,1,January,Final consumption,51287.873,20,511135,,0.8500993699473117
Canada,JAN2010,January 2010,2010,1,January,Electricity trade,4046.265,21,25439.002,,0.06706706919079797
Canada,JAN2010,January 2010,2010,1,January,Renewables,39481.336,22,366611.134,,0.6544053573498382
Canada,JAN2010,January 2010,2010,1,January,Non-renewables,20850.285,23,218831.866,,0.3455946426501618
Canada,JAN2010,January 2010,2010,1,January,Others,1025.994,24,10837.667,,0.017005908062705622
Canada,JAN2010,January 2010,2010,1,January,Other renewables aggregated,962.833,25,9740.132,,0.015959010947178096
Canada,JAN2010,January 2010,2010,1,January,Low carbon,47434.221,26,455114.134,,0.7862248720285503
Canada,JAN2010,January 2010,2010,1,January,Fossil fuels,13145.4,27,133304.866,,0.2178857418732376
Chile,JAN2010,January 2010,2010,1,January,Hydro,2277.808,1,21641.001,,0.4764879003081534
Chile,JAN2010,January 2010,2010,1,January,Wind,21.126,2,332.001,,0.004419285287394745
